theme|tier|word|hint
sport|1|СТАРТОВАЯ КОЛОДКА|Опора бегуна перед выстрелом судьи
sport|1|УТРЕННЯЯ ЗАРЯДКА|Короткие упражнения после пробуждения
sport|1|ШТРАФНОЙ БРОСОК|Попытка набрать очко с отмеченной линии
sport|1|ВОЛЬНЫЙ УДАР|Возобновление футбола после нарушения правил
sport|1|ПОДАЧА МЯЧА|Действие, которым начинают розыгрыш
sport|1|УДАР ГОЛОВОЙ|Футболист направляет снаряд лбом
sport|1|ЛИНИЯ ВОРОТ|Разметка между стойками футбольной рамки
sport|1|ЦЕНТР ПОЛЯ|Круг посередине футбольной площадки
sport|1|ВРАТАРСКАЯ ПЛОЩАДЬ|Малая прямоугольная зона перед футбольной рамкой
sport|1|ТРЕХОЧКОВЫЙ БРОСОК|Дальний баскетбольный выстрел приносит три балла
sport|1|ШТРАФНАЯ ЛИНИЯ|Отметка для свободной баскетбольной попытки
sport|1|ПОДБОР МЯЧА|Получение снаряда после промаха соперника
sport|1|ВЕДЕНИЕ МЯЧА|Игрок движется, отбивая снаряд рукой
sport|1|ВЕРХНЯЯ ПОДАЧА|Волейболист вводит снаряд рукой над плечом
sport|1|НИЖНЯЯ ПОДАЧА|Волейболист вводит снаряд движением снизу
sport|2|БЛОКИРОВАНИЕ|Прыжок у сетки останавливает атаку соперника
sport|1|ПРИЕМ МЯЧА|Первое касание после действия соперника
sport|1|ПЕРВАЯ ПОДАЧА|Начальная попытка теннисиста в розыгрыше
sport|1|ВТОРАЯ ПОДАЧА|Запасная попытка теннисиста после ошибки
sport|1|БОКОВАЯ ЛИНИЯ|Длинная граница игровой площадки
sport|1|ЗАДНЯЯ ЛИНИЯ|Граница корта позади игрока
sport|1|ВОЛЬНЫЙ СТИЛЬ|Пловец обычно выбирает кроль
sport|2|ГОРНЫЙ СПУСК|Лыжная гонка вниз по подготовленной трассе
sport|1|ЛЫЖНАЯ ПАЛКА|Спортсмен отталкивается этим длинным снарядом
